premise,answer1,answer2,asks-for,response,gold
The boy turned the lid on the jar.,The jar became warm.,The lid came off.,effect,,2
Dječak je okrenuo poklopac na staklenki.,Staklenka je postala topla.,Poklopac se otvorio.,,,
The woman received a diploma.,She enrolled in college.,She graduated from college.,cause,,2
Žena je dobila diplomu.,Upisala se na fakultet.,Diplomirala je na fakultetu.,,,
I chugged the pitcher of water.,I walked upstairs.,I ran five miles.,cause,,2
Iskapio sam vrč vode.,Hodao sam na kat.,Istrčao sam osam kilometara.,,,
I came upon a puddle on the sidewalk.,I leapt over the puddle.,I played in the puddle.,effect,,1
Naišao sam na lokvu na pločniku.,Preskočio sam lokvu.,Igrao sam se u lokvi.,,,
The woman covered her ears.,The fire alarm blared.,The woman smelled smoke.,cause,,1
Žena si je pokrila uši.,Protupožarni je alarm treštao.,Žena je namirisala dim.,,,
The archeologist dug up the site.,She excavated ancient artifacts.,She read about the site's history.,effect,,1
Arheologinja je iskopala nalazište.,Otkrila je drevne artefakte.,Čitala je o povijesti nalazišta.,,,
The audience booed the comedian off the stage.,He told a racist joke.,He entertained the audience.,cause,,1
Publika je izviždala komičara i otjerala ga s pozornice.,Ispričao je rasističku šalu.,Zabavio je publiku.,,,
The coach gave his player a high five.,The player got a penalty.,The player scored a point.,cause,,2
Trener je dao pet svojem igraču.,Igrač je dobio kaznu.,Igrač je osvojio bod.,,,
I tossed the ball upwards.,The ball rolled across the ground.,The ball hit the ceiling.,effect,,2
Bacio sam loptu prema gore.,Lopta se otkotrljala po zemlji.,Lopta je pogodila strop.,,,
My breath smelled of garlic.,I wiped my mouth.,I brushed my teeth.,effect,,2
Dah mi je mirisao na češnjak.,Obrisao sam usta.,Oprao sam zube.,,,
The man was lost.,He asked for directions.,He drew a map.,effect,,1
Muškarac se izgubio.,Pitao je za smjer.,Nacrtao je kartu.,,,
The baby pulled the mother's hair.,The baby burped.,The mother grimaced.,effect,,2
Beba je povukla majku za kosu.,Beba je podrignula.,Majka je napravila grimasu.,,,
I stood on one foot.,My balance wavered.,I kneeled down.,effect,,1
Stajao sam na jednoj nozi.,Gubio sam ravnotežu.,Kleknuo sam.,,,
I pushed the gas pedal.,The car accelerated.,The car door opened.,effect,,1
Stisnuo sam papučicu gasa.,Automobil je ubrzao.,Automobilska su se vrata otvorila.,,,
My car was towed.,I parked illegally.,I jumped the battery.,cause,,1
Odvukli su mi automobil.,Nepropisno sam se parkirao.,Pokrenuo sam akumulator.,,,
The woman got away with the crime.,Her accomplice was apprehended.,She destroyed the evidence.,cause,,2
Žena je prošla nekažnjeno za zločin.,Njezin je suučesnik uhićen.,Uništila je dokaze.,,,
The dust came off the desk.,I wiped the desk with a cloth.,I removed the books from the desk.,cause,,1
Prašina je uklonjena sa stola.,Obrisao sam stol krpom.,Maknuo sam knjige sa stola.,,,
The motorcyclist twisted the throttle.,The motorcycle coasted to a halt.,The motorcycle shot forward.,effect,,2
Motociklist je zakrenuo ručicu.,Motocikl je usporio i stao.,Motocikl je odjurio naprijed.,,,
The teacher caught the student chewing gum.,The gum stuck to the student's shoe.,The student spit out the gum.,effect,,2
Učitelj je uhvatio učenika kako žvače žvakaću gumu.,Žvakaća se guma zalijepila za učenikovu cipelu.,Učenik je ispljunuo žvakaću gumu.,,,
The host served dinner to his guests.,His guests were gracious.,His guests went hungry.,effect,,1
Domaćin je poslužio večeru gostima.,Njegovi su gosti bili zahvalni.,Njegovi su gosti otišli gladni.,,,
The boy climbed the tree.,A cat got stuck in the tree.,A bird built a nest in the tree.,cause,,1
Dječak se penjao na stablo.,Mačka je zapela na stablu.,Ptica je izgradila gnijezdo na stablu.,,,
The chair squeaked.,The man carried the chair to his office.,The man scooted the chair closer to his desk.,cause,,2
Stolac je škripao.,Muškarac je odnio stolac u svoj ured.,Muškarac je primaknuo stolac bliže svojem stolu.,,,
The father shut off the children's television.,It was bedtime for the children.,The children were watching cartoons.,cause,,1
Otac je isključio djeci televizor.,Djeci je bilo vrijeme za spavanje.,Djeca su gledala crtiće.,,,
The man held his breath.,He went underwater.,He treaded water.,cause,,1
Muškarac je zadržao dah.,Išao je pod vodu.,Gazio je po vodi.,,,
I clumsily bumped into the stranger.,I ran away.,I apologized to him.,effect,,2
Nespretno sam se sudario sa strancem.,Pobjegao sam.,Ispričao sam mu se.,,,
The boat capsized.,The captain raised the sail.,It was caught in a hurricane.,cause,,2
Čamac se prevrnuo.,Kapetan je podigao jedro.,Zahvatio ga je uragan.,,,
The mother suspected that her son was lying.,He refused to talk to her.,He avoided making eye contact with her.,cause,,2
Majka je sumnjala da njezin sin laže.,Nije htio razgovarati s njom.,Izbjegavao je njezin pogled.,,,
The young woman was denied entrance into the bar.,Her friends stood her up.,She forgot her ID.,cause,,2
Mladoj je ženi zabranjen ulaz u kafić.,Njezini su je prijatelji ostavili na cjedilu.,Zaboravila je svoju osobnu.,,,
A crater formed on the moon.,A comet passed by the moon.,A comet collided with the moon.,cause,,2
Krater se stvorio na mjesecu.,Komet je prošao uz mjesec.,Komet se sudario s mjesecom.,,,
I planted the seeds in the soil.,I watered the soil.,The seeds sprouted.,effect,,2
Posadio sam sjeme u zemlju.,Zalio sam zemlju.,Sjeme je niklo.,,,
The benefactor requested to stay anonymous.,He wanted to maintain his privacy.,He supported the cause behind his donation.,cause,,1
Dobročinitelj je tražio da ostane anoniman.,Htio je sačuvati svoju privatnost.,Podržavao je cilj za koji je donirao.,,,
The woman felt ashamed of scar on her face.,She explained the scar to strangers.,She hid the scar with makeup.,effect,,2
Žena se sramila ožiljka na svojem licu.,Objasnila je ožiljak strancima.,Sakrila je ožiljak šminkom.,,,
The doctor x-rayed the patient's arm.,He discovered that the patient's arm was broken.,He put the patient's arm in a cast.,effect,,1
Liječnik je obavio rendgensko snimanje pacijentove ruke.,Otkrio je da je pacijentova ruka slomljena.,Stavio je pacijentovu ruku u gips.,,,
The boy filled the bucket with sand.,He was collecting seashells in the sand.,He was building a sand castle.,cause,,2
Dječak je napunio kantu pijeskom.,Skupljao je školjke u pijesku.,Gradio je kulu od pijeska.,,,
The woman upgraded her computer hardware.,She deleted old files on the computer.,She installed new software on the computer.,effect,,2
Žena je ažurirala hardver svojeg računala.,Izbrisala je stare datoteke s računala.,Instalirala je novi softver na računalo.,,,
The girl performed in a dance recital.,Her parents showed her how to dance.,Her parents came to watch the recital.,effect,,2
Djevojčica je nastupala u plesnoj priredbi.,Njezini su joj roditelji pokazali kako se pleše.,Njezini su roditelji došli gledati priredbu.,,,
The baby was wailing in his crib.,The mother picked up the baby.,The baby crawled to the mother.,effect,,1
Beba je vrištala u kolijevci.,Majka je podigla bebu.,Beba je otpuzala do majke.,,,
The woman had a religious awakening.,She began going to church.,She began travelling abroad.,effect,,1
Žena je doživjela vjersko buđenje.,Počela je ići u crkvu.,Počela je putovati po inozemstvu.,,,
The bureau drawers were cluttered.,I threw away unnecessary contents.,I locked the drawers shut.,effect,,1
Uredske ladice bile su pretrpane.,Bacio sam nepotrebne stvari.,Zaključao sam ladice.,,,
The student flaunted his test grade to his classmates.,He received a perfect score.,He feigned interest in the class.,cause,,1
Učenik se hvalisao kolegama iz razreda svojom ocjenom iz testa.,Dobio je sve bodove.,Glumio je da ga taj predmet zanima.,,,
The boy felt homesick.,He went away to camp.,He bickered with his sister.,cause,,1
Dječak se osjećao nostalgično.,Otišao je u kamp.,Prepirao se sa svojom sestrom.,,,
The rocket flew up into the sky.,The girl launched it.,The girl designed it.,cause,,1
Raketa je odletjela u nebo.,Djevojka ju je lansirala.,Djevojka ju je projektirala.,,,
The boy murmured his reply to his mother.,His mother told him to whisper.,His mother told him to speak up.,effect,,2
Dječak je promumljao odgovor svojoj majci.,Njegova mu je majka rekla neka šapće.,Njegova mu je majka rekla da govori glasnije.,,,
My flight got delayed.,Tornadoes were sighted in the area.,I was held up at airport security.,cause,,1
Moj je let odgođen.,Tornadi su viđeni na tom području.,Zadržan sam na osiguranju u zračnoj luci.,,,
The smoke alarm went off.,I lit a candle.,I burnt my dinner.,cause,,2
Aktivirao se detektor dima.,Upalio sam svijeću.,Zagorjela mi je večera.,,,
The vase broke.,I stenciled it.,I glued it back together.,effect,,2
Vaza se razbila.,Oslikao sam je.,Zalijepio sam je.,,,
The woman felt an electric shock.,She grabbed the doorknob.,She pounded on the door.,cause,,1
Žena je osjetila električni šok.,Primila je kvaku.,Lupala je po vratima.,,,
The man had lipstick on his cheek.,The woman kissed him.,The woman made him blush.,cause,,1
Muškarac je imao ruž na obrazu.,Žena ga je poljubila. ,Zbog žene je pocrvenio.,,,
I jumped instinctively in fright.,I sensed someone approaching me from behind.,I heard people chuckling in the adjacent room.,cause,,1
Instinktivno sam skočio od straha.,Osjetio sam da mi se netko približava sleđa.,Čuo sam kako se ljudi hihoću u susjednoj sobi.,,,
The gardener wanted his plants to flourish.,He planted a variety of seeds.,He put fertilizer in the soil.,effect,,2
Vrtlar je htio da njegove biljke uspiju.,Posadio je razno sjeme.,Stavio je gnojivo u zemlju.,,,
A water pipe in the house burst.,The water was unsanitary.,The pipe froze.,cause,,2
Vodovodna cijev u kući je pukla.,Voda je bila nehigijenska.,Cijev se zaledila.,,,
The waistband on my pants was loose.,I put on a belt.,I put on a hat.,effect,,1
Guma na pojasu mojih hlača bila je labava.,Stavio sam remen.,Stavio sam šešir.,,,
The company lost money.,Its products received positive consumer reviews.,Some of its products were manufactured defectively.,cause,,2
Tvrtka je izgubila novac.,Njezini su proizvodi dobili pozitivne recenzije kupaca.,Neki od njezinih proizvoda proizvedeni su s greškom.,,,
The tenants were evicted from the apartment.,They neglected to pay their rent.,They got along with their landlord.,cause,,1
Stanari su izbačeni iz stana.,Nisu plaćali stanarinu.,Dobro su se slagali sa stanodavcem.,,,
The man woke up with a toothache.,He missed an appointment with the dentist.,He made an appointment with the dentist.,effect,,2
Muškarac se probudio sa zuboboljom.,Propustio je termin kod zubara.,Zakazao je termin kod zubara.,,,
The team lost the game.,Their best player was injured.,Their coach pumped them up.,cause,,1
Ekipa je izgubila utakmicu.,Njihov je najbolji igrač bio ozlijeđen.,Njihov ih je trener motivirao.,,,
The parents forbade their children from watching the movie.,The movie was rated R.,The movie was animated.,cause,,1
Roditelji su zabranili svojoj djeci da gledaju film.,Film nije bio za mlađe od 18 godina.,Film je bio animiran.,,,
The woman deleted the email.,The sender tried to solicit money from her.,The sender requested a response from her.,cause,,1
Žena je izbrisala poruku e-pošte.,Pošiljatelj je pokušao izvući njezin novac.,Pošiljatelj je tražio njezin odgovor.,,,
The police eliminated the woman from the list of suspects.,The police interrogated her.,Her alibi checked out.,cause,,2
Policija je maknula ženu s popisa osumnjičenika.,Policija ju je ispitala.,Njezin je alibi potvrđen.,,,
The climbers reached the peak of the mountain.,They encountered an avalanche.,They congratulated each other.,effect,,2
Penjači su došli do vrha planine.,Naišli su na lavinu.,Čestitali su si međusobno.,,,
The vandals threw a rock at the window.,The window cracked.,The window fogged up.,effect,,1
Vandali su bacili kamen u prozor.,Prozor je napukao.,Prozor se zamaglio.,,,
The fortune teller's revelations were convincing.,She received many returning customers.,Many customers asked for refunds.,effect,,1
Predviđanja gatare bila su uvjerljiva.,Mnoge su joj se mušterije vraćale.,Mnogo je mušterija tražilo povrat novca.,,,
The woman's makeup smeared.,She brushed her hair.,She wiped her eyes.,cause,,2
Ženi se razmazala šminka.,Počešljala si je kosu.,Obrisala si je oči.,,,
The company's profits started to level off.,It increased its marketing efforts for new products.,It moved its headquarters to a suburban location.,effect,,1
Profit tvrtke počeo se stabilizirati.,Pojačala je ulaganje u marketing novih proizvoda.,Preselila je svoje sjedište na lokaciju u predgrađu.,,,
The student's answer on the exam was incorrect.,The teacher added bonus points to the student's grade.,The teacher subtracted points off the student's grade.,effect,,2
Učenikov odgovor na ispitu bio je netočan.,Učitelj je dao dodatne bodove učenikovoj ocjeni.,Učitelj je oduzeo bodove od učenikove ocjene.,,,
The girl wanted to demonstrate proper etiquette.,She threw away her napkin after eating.,She put her napkin on her lap before eating.,effect,,2
Djevojka se htjela ponašati po bontonu.,Bacila je salvetu nakon jela.,Stavila je salvetu u krilo prije jela.,,,
The detective flashed his badge to the police officer.,The police officer confiscated the detective's badge.,The police officer let the detective enter the crime scene.,effect,,2
Istražitelj je pokazao svoju značku policijskom službeniku.,Policijski službenik zaplijenio je istražiteljevu značku.,Policijski službenik dopustio je istražitelju da uđe na mjesto zločina.,,,
The girl wanted to make her mother happy.,The girl ate the cookies her mother baked.,The girl picked a flower for her mother.,effect,,2
Djevojka je htjela usrećiti svoju majku.,Djevojka je pojela kekse koje je njezina majka ispekla.,Djevojka je ubrala cvijet za svoju majku.,,,
The toddler started crying.,Her parents took away her toy.,Her parents gave her a toy.,effect,,2
Beba je počela plakati.,Njezini su joj roditelji uzeli igračku.,Njezini su joj roditelji dali igračku.,,,
The stranger cried out to me in a foreign language.,I stared blankly at him.,I stopped to chat with him.,effect,,1
Stranac mi je nešto doviknuo na nepoznatom jeziku.,Blijedo sam ga gledao.,Stao sam da porazgovaram s njim.,,,
The man uncovered incriminating evidence against his enemy.,The man avoided his enemy.,The man blackmailed his enemy.,effect,,2
Muškarac je otkrio inkriminirajuće dokaze o svojem neprijatelju.,Muškarac je izbjegavao svojeg neprijatelja.,Muškarac je ucjenjivao svojeg neprijatelja.,,,
The girl pushed herself off the top of the slide.,She glided down the slide.,She crawled up the slide.,effect,,1
Djevojčica se odgurnula s vrha tobogana.,Kliznula je niz tobogan.,Uspuzala se po toboganu.,,,
My jaw dropped open.,I was unhappy.,I was shocked.,cause,,2
Vilica mi se razjapila.,Bio sam nesretan.,Bio sam šokiran.,,,
The child disobeyed her parents.,Her parents hugged her.,Her parents punished her.,effect,,2
Djevojčica nije slušala svoje roditelje.,Njezini su je roditelji zagrlili.,Njezini su je roditelji kaznili.,,,
The car looked filthy.,The owner took it to the car wash.,He owner took it in for a paint job.,effect,,1
Automobil je izgledao prljavo.,Vlasnik ga je odvezao do autopraonice.,Vlasnik ga je odvezao na autolakiranje.,,,
My friend paid for my ticket.,I sought a refund.,I paid her back.,effect,,2
Prijateljica mi je platila ulaznicu.,Tražio sam povrat novca.,Vratio sam joj novac.,,,
The woman was wrongly convicted for the crime.,The jury was fair.,She was framed.,cause,,2
Žena je nepravedno osuđena za zločin.,Porota je bila poštena.,Bilo joj je smješteno.,,,
The girl applied the scissors to the paper.,The paper sliced apart.,The paper crinkled.,effect,,1
Djevojka je primijenila škare na papiru.,Papir se razrezao.,Papir se naborao.,,,
The woman visited her family.,She distrusted them.,She missed them.,cause,,2
Žena je posjetila svoju obitelj.,Nije joj vjerovala.,Nedostajala joj je.,,,
I burst into a fit of laughter.,My teeth began to chatter.,My eyes welled up with tears.,effect,,2
Spopao me napad smijeha.,Zubi su mi počeli zveketati.,Oči su mi se napunile suzama.,,,
The school principal implemented a dress code.,Students protested the decision.,Students were expelled from school.,effect,,1
Ravnatelj škole uveo je pravila oblačenja.,Učenici su se pobunili protiv te odluke.,Učenici su izbačeni iz škole.,,,
The balloon expanded.,I blew into it.,I pricked it.,cause,,1
Balon se proširio.,Puhnuo sam u njega.,Probo sam ga.,,,
I wanted to lighten the mood of the conversation.,I remained quiet.,I told a joke.,effect,,2
Htio sam podići atmosferu razgovora.,Ostao sam tiho.,Ispričao sam šalu.,,,
The man broke his toe.,He got a hole in his sock.,He dropped a hammer on his foot.,cause,,2
Muškarac je slomio nožni prst.,Napravila mu se rupa na čarapi.,Ispao mu je čekić na stopalo.,,,
The man had an attack of conscience.,He manipulated his friend.,He admitted his indiscretion.,effect,,2
Muškarac je imao napad grizodušja.,Izmanipulirao je svojeg prijatelja.,Priznao je svoju indiskreciju.,,,
A fistfight broke out in the hall of the school.,The principal suspended the students involved.,The principal called off classes for the day.,effect,,1
Tučnjava je izbila u školskom hodniku.,Ravnatelj je suspendirao učenike koji su sudjelovali.,Ravnatelj je otkazao predavanja za taj dan.,,,
The photo albums collected dust in the attic.,They remained untouched for years.,The family reminisced over the photos.,cause,,1
Fotoalbumi su skupljali prašinu na tavanu.,Bili su netaknuti godinama.,Obitelj se prisjećala uz fotografije.,,,
I got distracted from my conversation with the woman.,Everyone in the room was talking.,The woman was telling a funny story.,cause,,1
Ometen sam u razgovoru sa ženom.,Svi su u sobi govorili.,Žena je pričala smiješnu priču.,,,
I put coins in the washing machine at the laundromat.,The machine powered on.,I ran out of laundry detergent.,effect,,1
Stavio sam kovanice u perilicu rublja u praonici.,Perilica se uključila.,Ponestalo mi je deterdženta za rublje.,,,
The family postponed the barbeque.,The forecast called for storms.,It was a holiday weekend.,cause,,1
Obitelj je odgodila roštilj.,Na prognozi su najavljene oluje.,Bio je blagdanski vikend.,,,
Air leaked out of the beach ball.,It was inflated.,There was a hole in it.,cause,,2
Zrak je istjecao iz lopte za plažu.,Bila je napuhana.,Imala je rupu na sebi.,,,
Our group's conversation gradually lulled to silence.,I felt awkward.,I became enraged.,effect,,1
Razgovor u našoj skupini postupno je utihnuo.,Bilo mi je neugodno.,Razbjesnio sam se.,,,
I clenched the candy wrapper in my fist.,The wrapper crinkled.,The wrapper ripped.,effect,,1
Stisnuo sam omot bombona u šaci.,Omot se zgužvao.,Omot se razderao.,,,
The woman pressed down on the piano key.,A sound played.,The key got stuck.,effect,,1
Žena je pristisnula klavirsku tipku.,Čuo se zvuk.,Tipka je zapela.,,,
The girl met her favorite actor.,She went to see his new film.,She asked him for his autograph.,effect,,2
Djevojka je upoznala svojeg najdražeg glumca.,Otišla je vidjeti njegov novi film.,Tražila ga je autogram.,,,
The vehicles travelled slowly.,It was cloudy.,It was foggy.,cause,,2
Vozila su putovala sporo.,Bilo je oblačno.,Bilo je maglovito.,,,
The chandelier shattered on the floor.,The chandelier dropped from the ceiling.,The chandelier's lights flickered on and off.,cause,,1
Luster se razmrskao po podu.,Luster je pao sa stropa.,Svjetla lustera treperavo su se palila i gasila.,,,
The cat purred.,It scratched me.,I petted it.,cause,,2
Mačka je prela.,Ogrebla me.,Pomazio sam je.,,,
The boy pushed his sister.,His sister tattled on him.,They played hide and seek.,effect,,1
Dječak je gurnuo svoju sestru.,Sestra ga je cinkala.,Igrali su se skrivača.,,,
The man gained weight.,He got his suit altered.,He got his shoes shined.,effect,,1
Muškarac se udebljao.,Odnio je svoje odijelo na prekrajanje.,Odnio je svoje cipele na laštenje.,,,
The clouds looked dark.,I brought my laptop to work.,I brought my umbrella to work.,effect,,2
Oblaci su izgledali tamno.,Ponio sam prijenosno računalo na posao.,Ponio sam kišobran na posao.,,,
The engine of the airplane was faulty.,The airplane crashed.,The pilot made an error.,effect,,1
Motor zrakoplova bio je neispravan.,Zrakoplov se srušio.,Pilot je napravio pogrešku.,,,
Cars moved to the shoulder of the road.,The traffic light turned green.,A screaming ambulance approached.,cause,,2
Automobili su se pomaknuli u zaustavnu traku ceste.,Na semaforu se upalilo zeleno.,Prilazilo je treštavo vozilo hitne pomoći.,,,
The boy lost hold of the bar of soap.,The bar was slippery.,The bar emitted a fragrance.,cause,,1
Dječaku je sapun skliznuo iz ruke.,Sapun je bio sklizak.,Sapun je ispuštao miris.,,,
The button on my shirt fell off.,I sewed the button back on.,I glued the button back on.,effect,,1
Gumb na mojoj košulji je otpao.,Ponovno sam zašio gumb.,Ponovno sam zalijepio gumb.,,,
The celebrity wore sunglasses.,She wanted to thank her fans.,She wanted to avoid recognition.,cause,,2
Poznata ličnost nosila je sunčane naočale.,Htjela je zahvaliti svojim obožavateljima.,Htjela je izbjeći prepoznavanje.,,,
My grandmother passed away.,My family held a funeral.,My family held a reunion.,effect,,1
Moja je baka preminula.,Moja je obitelj održala sprovod.,Moja je obitelj održala okupljanje.,,,
The police officer pulled over the celebrity.,The celebrity offered the officer a bribe.,The celebrity sued the police officer.,effect,,1
Policijski je službenik zaustavio poznatu ličnost.,Poznata ličnost ponudila je službeniku mito.,Poznata ličnost tužila je policijskog službenika.,,,
The man revealed personal information to the therapist.,He trusted the therapist.,He disagreed with the therapist.,cause,,1
Muškarac je otkrio osobne informacije psihoterapeutu.,Vjerovao je psihoterapeutu.,Nije se slagao sa psihoterapeutom.,,,
The man fell unconscious.,The assailant struck the man in the head.,The assailant took the man's wallet.,cause,,1
Muškarac je pao u nesvijest.,Napadač je udario muškarca u glavu.,Napadač je uzeo muškarčev novčanik.,,,
I approached the man.,He looked busy.,He looked familiar.,cause,,2
Prišao sam muškarcu.,Izgledao je zauzeto.,Izgledao je poznato.,,,
The leader received praise.,He fought poverty.,He raised taxes.,cause,,1
Vođa je bio hvaljen.,Borio se protiv siromaštva.,Povisio je poreze.,,,
The man read the cartoon in the newspaper.,He sipped coffee.,He chuckled.,effect,,2
Muškarac je pročitao strip u novinama.,Pijucnuo je kave.,Zahihotao se.,,,
My mailbox was overflowing with letters.,The lid on the mailbox broke.,I went on vacation for two weeks.,cause,,2
Poštanski je sandučić bio pretrpan pismima.,Poklopac na poštanskom sandučiću se potrgao.,Otišao sam na odmor na dva tjedna.,,,
The bananas ripened.,We squeezed them.,We ate them.,effect,,2
Banane su sazrele.,Zgnječili smo ih.,Pojeli smo ih.,,,
The chef pressed down on the dough.,The dough crumbled.,The dough flattened.,effect,,2
Kuhar je pritisnuo tijesto.,Tijesto se smrvilo.,Tijesto se spljoštilo.,,,
The clay hardened.,The potter rolled the clay into a ball.,The potter put the clay in the oven.,cause,,2
Glina se stvrdnula.,Lončar je oblikovao glinu u kuglu.,Lončar je stavio glinu u peć.,,,
My feet were blistered.,I went hiking.,I went swimming.,cause,,1
Stopala su mi bila puna žuljeva.,Išao sam planinariti.,Išao sam plivati.,,,
The woman betrayed her friend.,Her friend sent her a greeting card.,Her friend cut off contact with her.,effect,,2
Žena je izdala svoju prijateljicu.,Njezina prijateljica poslala joj je čestitku. ,Njezina prijateljica prekinula je kontakt s njom.,,,
The man took notice of the woman.,He caught a whiff of her perfume.,He had his back turned to her.,cause,,1
Muškarac je zamijetio ženu.,Osjetio je miris njezina parfema.,Bio joj je okrenut leđima.,,,
The woman and her boyfriend got into a fight.,They stopped seeing each other.,They planned a vacation together.,effect,,1
Žena i njezin dečko posvađali su se.,Prestali su se viđati.,Isplanirali su zajednički odmor.,,,
The bully stuck his foot out in front of his classmate.,The bully picked up his classmate.,The bully's classmate tripped.,effect,,2
Nasilnik je podmetnuo nogu svojem kolegi iz razreda.,Nasilnik je podigao svojeg kolegu iz razreda.,Nasilnikov se kolega iz razreda popiknuo.,,,
The man wanted to get revenge on his enemy.,The man framed his enemy for a crime.,The man declared a truce with his enemy.,effect,,1
Muškarac se htio osvetiti svojem neprijatelju.,Muškarac je smjestio svojem neprijatelju krivnju za zločin.,Muškarac je proglasio primirje sa svojim neprijateljem.,,,
I drank a cup of coffee.,My yawning ceased.,I nodded off to sleep.,effect,,1
Popio sam šalicu kave.,Prestao sam zijevati.,Utonuo sam u san.,,,
The woman was mistaken for her sister.,The woman was close with her sister.,The woman looked like her sister.,cause,,2
Ženu su zamijenili za njezinu sestru.,Žena je bila bliska sa svojom sestrom.,Žena je nalikovala na svoju sestru.,,,
The man made an error in his calculations.,He checked his work.,His work was hasty.,cause,,2
Muškarac je pogriješio u svojim izračunima.,Provjerio je svoj postupak.,Njegov je postupak bio ishitren.,,,
The woman's eyeglasses fogged up.,She reclined by the pool.,She entered the sauna.,cause,,2
Ženine su se naočale zamaglile.,Zavalila se pored bazena.,Ušla je u saunu.,,,
The shopper wondered about the cost of the item.,He checked its price tag.,He decided to buy it.,effect,,1
Kupca je zanimala cijena artikla.,Provjerio je etiketu s cijenom.,Odlučio ga je kupiti.,,,
The host of the trivia show called on the contestant for an answer.,The contestant was in the lead.,The contestant rang the buzzer.,cause,,2
Voditelj kviza prozvao je natjecatelja da odgovori.,Natjecatelj je vodio.,Natjecatelj je pritisnuo zvono.,,,
The boy was afraid to go to bed.,He turned on his nightlight.,He watched a horror movie.,cause,,2
Dječak se bojao ići u krevet.,Upalio je svoju noćnu svjetiljku.,Gledao je film strave.,,,
The woman wanted to be a doctor.,She visited the hospital.,She went to medical school.,effect,,2
Žena je htjela postati liječnica.,Posjetila je bolnicu.,Krenula je na medicinski fakultet.,,,
The boy found the television show boring.,He recorded it.,He shut it off.,effect,,2
Dječaku je televizijska emisija bila dosadna.,Snimio ju je.,Isključio ju je.,,,
My daughter suffered an allergy attack.,I encouraged her to take deep breaths.,I took her to the emergency room.,effect,,2
Moja je kći doživjela alergijski napad.,Poticala sam je da duboko udiše.,Odvela sam je na hitnu.,,,
The boy had trouble buttoning his shirt.,He refused to wear the shirt.,He asked his mother for help.,effect,,2
Dječak je imao problema sa zakopčavanjem svoje košulje.,Nije htio nositi košulju.,Tražio je svoju majku da mu pomogne.,,,
I spit out my chewing gum.,I blew a bubble with the gum.,The gum lost its flavor.,cause,,2
Ispljunuo sam žvakaću gumu.,Napuhao sam balon od žvakaće gume.,Žvakaća guma izgubila je okus.,,,
The boy painted a picture for his mother.,His mother hung the picture on the wall.,His mother sold the picture to a gallery.,effect,,1
Dječak je naslikao sliku za svoju majku.,Njegova je majka objesila sliku na zid.,Njegova je majka prodala sliku galeriji.,,,
The competition ended.,The teams got pumped up.,The teams shook hands.,effect,,2
Natjecanje je završilo.,Ekipe su se zagrijale.,Ekipe su se rukovale.,,,
The girl politely declined the hamburger.,She was a vegetarian.,She liked fast food.,cause,,1
Djevojka je pristojno odbila hamburger.,Bila je vegetarijanka.,Voljela je brzu hranu.,,,
I scrubbed the stain on the floor.,I got rid of the stain.,I got dirt on the floor.,effect,,1
Izribao sam mrlju na podu.,Riješio sam se mrlje.,Zaprljao sam pod.,,,
The documents contained important information.,I paper clipped them together.,I kept them in a secure place.,effect,,2
Dokumenti su sadržavali važne informacije.,Spojio sam ih spajalicom.,Držao sam ih na sigurnom mjestu.,,,
The egg splattered.,I dropped it.,I boiled it.,cause,,1
Jaje se rasprsnulo.,Ispalo mi je.,Skuhao sam ga.,,,
The girl pushed her friend.,Her friend choked.,Her friend fell over.,effect,,2
Djevojka je gurnula svojeg prijatelja.,Njezin se prijatelj ugušio.,Njezin se prijatelj prevrnuo.,,,
A group of teenagers crashed the party.,The host of the party kicked them out.,The host of the party invited them in.,effect,,1
Skupina tinejdžera upala je na zabavu.,Organizator zabave izbacio ih je.,Organizator zabave pozvao ih je unutra.,,,
The man took a shower.,He was sweaty from working out.,He opened a new bar of soap.,cause,,1
Muškarac se istuširao.,Bio je znojan od vježbanja.,Otvorio je novi sapun.,,,
The screen on the laptop went black.,The laptop's warranty expired.,The laptop's battery died.,cause,,2
Zaslon na laptopu se zacrnio.,Jamstvo laptopa je isteklo.,Baterija laptopa se ispraznila.,,,
The book became a huge bestseller.,It was adapted into a movie.,The author faded into obscurity.,effect,,1
Knjiga je postala golema uspješnica.,Adaptirana je za film.,Autor je pao u zaborav.,,,
The man felt thankful to be alive.,He was cured of cancer.,His wife was diagnosed with cancer.,cause,,1
Muškarac je bio zahvalan što je živ.,Izliječen je od raka.,Njegovoj je ženi dijagnosticiran rak.,,,
The woman wrote a check to the gas company.,She preferred paying by cash.,She received her monthly bill.,cause,,2
Žena je napisala ček plinari.,Preferirala je plaćanje gotovinom.,Dobila je svoj mjesečni račun.,,,
The woman felt reluctant to switch careers.,She made a lot of money in her current occupation.,She endured a lot of stress in her current occupation.,cause,,1
Žena je oklijevala u promjeni karijere.,Zarađivala je mnogo novca na svojem trenutačnom poslu.,Podnosila je mnogo stresa na svojem trenutačnom poslu.,,,
The woman filed a restraining order against the man.,The man called her.,The man stalked her.,cause,,2
Žena je tražila zabranu prilaska za muškarca.,Muškarac ju je nazvao.,Muškarac ju je uhodio.,,,
The ocean tide was dangerous.,The swimmers put on more sunscreen.,The swimmers returned towards the shore.,effect,,2
